school.instructional_expenditure_per_fte,X2013.student.demographics.race_ethnicity.black,school.tuition_revenue_per_fte,id,X2013.student.share_firstgeneration,school.minority_serving.annh,X2013.cost.tuition.program_year,X2013.cost.attendance.program_year,X2013.aid.pell_grant_rate,school.minority_serving.historically_black,school.minority_serving.nant,X2013.student.demographics.race_ethnicity.two_or_more,X2013.student.demographics.race_ethnicity.white,X2013.student.size,X2013.student.demographics.race_ethnicity.hispanic,X2013.student.demographics.race_ethnicity.non_resident_alien,X2013.student.demographics.race_ethnicity.unknown,school.minority_serving.predominantly_black,school.under_investigation,school.minority_serving.hispanic,school.minority_serving.aanipi,X2013.student.demographics.race_ethnicity.aian,school.minority_serving.tribal,X2013.student.demographics.race_ethnicity.asian,school.name,X2013.student.demographics.race_ethnicity.nhpi,X2013.admissions.admission_rate.overall,X2013.admissions.sat_scores.average.overall,X2013.student.enrollment.all,X2013.student.demographics.race_ethnicity.white_non_hispanic,X2013.student.demographics.race_ethnicity.black_non_hispanic,X2013.student.demographics.race_ethnicity.asian_pacific_islander,X2013.cost.attendance.academic_year,X2013.cost.tuition.in_state,X2013.cost.tuition.out_of_state,year
3291,0.5662,20627,459709,0.506675155,0,NA,NA,0.8305,0,0,0.016,0.3037,438,0.0525,0,0.0479,0,0,0,0,0.0068,0,0.0068,ITT Technical Institute-Dearborn,0,0.9826,NA,NA,NA,NA,NA,27139,18048,18048,2013
2038,0.0625,10058,459417,0,0,NA,NA,0.5366,0,0,0.0625,0.8,80,0.05,0,0,0,0,0,0,0,0,0.025,Compass College of Cinematic Arts,0,0.9815,NA,NA,NA,NA,NA,29928,13915,13915,2013
5516,0.8056,11365,458371,0.612128147,0,NA,26851,0.5929,0,0,0,0.1667,36,0.0278,0,0,0,0,0,0,0,0,0,Kaplan Career Institute-Dearborn,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
3302,0.4541,9751,458380,0.582324455,0,NA,NA,0.7464,0,0,0.0524,0.3843,229,0.0873,0,0,0,0,0,0,0.0087,0,0.0131,Dorsey Business Schools-Waterford Pontiac,0,NA,NA,NA,NA,NA,NA,28588,17568,17568,2013
3042,0.1215,11311,458609,0.526147705,0,NA,NA,0.623,0,0,0.0093,0.1308,107,0,0,0.7383,0,0,0,0,0,0,0,Sanford-Brown College-Dearborn,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
3801,0.0175,10772,458618,0.526147705,0,NA,NA,0.6377,0,0,0,0.1228,57,0.0175,0,0.8421,0,0,0,0,0,0,0,Sanford-Brown College-Grand Rapids,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
3108,0.1473,3686,457633,0.514705882,0,13665,14959,0.4906,0,0,0.062,0.7054,129,0.0388,0,0.0233,0,0,0,0,0.0078,0,0,L'esprit Academy,0.0155,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
1491,0.0508,4959,457642,0,0,13615,8729,0.2946,0,0,0.0169,0.8475,59,0.0339,0,0,0,0,0,0,0,0,0.0508,Marketti Academy of Cosmetology,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
3421,0.5052,10102,455549,0.582324455,0,NA,NA,0.8125,0,0,0.0722,0.3402,97,0.0309,0,0,0,0,0,0,0.0206,0,0.0309,Dorsey Business Schools-Farmington Hills,0,NA,NA,NA,NA,NA,NA,25802,17568,17568,2013
3493,0.8,10317,455558,0.582324455,0,NA,NA,0.802,0,0,0.0303,0.1273,165,0.0121,0,0.0121,0,0,0,0,0.0121,0,0.0061,Dorsey Business Schools-Roseville Culinary Academy,0,NA,NA,NA,NA,NA,NA,30106,20736,20736,2013
